Label,Area,Mean,Min,Max,XM,YM,BX,BY,Width,Height,Circ.,AR,Round,Solidity,Sample,Area_mm2,Date,Converted date,Time,Converted time,Date+time,Elapsed time (Days)
"B3stack.tif:	2022:08:01 14:20:4",110413,184.7,107,214,656.86,760.18,453,580,397,356,0.89,1.13,0.88,0.99,B3,139.2645542,8/1/2022,44774,14:20:04,0.597268519,44774.59727,6.1
"B3stack.tif:	2022:08:02 14:50:1",125213,176.29,107,225,763.32,761.16,547,569,420,382,0.89,1.13,0.89,0.99,B3,157.9318797,8/2/2022,44775,14:50:01,0.61806713,44775.61807,7.2
"B3stack.tif:	2022:08:03 10:10:1",149852,183.18,107,252,640.05,1003.15,407,793,456,424,0.87,1.12,0.89,0.99,B3,189.0091926,8/3/2022,44776,10:10:01,0.423622685,44776.42362,8
"B3stack.tif:	2022:08:05 09:40:4",238355,184.49,107,255,951.96,718.42,668,447,580,541,0.75,1.12,0.9,0.98,B3,300.6385373,8/5/2022,44778,9:40:04,0.402824074,44778.40282,9.9
"B3stack.tif:	2022:08:09 11:08:3",458009,190.35,105,255,959.51,701.78,571,334,794,752,0.75,1.09,0.92,0.99,B3,577.6893954,8/9/2022,44782,11:08:03,0.463923611,44782.46392,14
"C3stack.tif:	2022:07:28 13:56:0",81881,176.4,89,212,763.88,960.56,601,801,326,322,0.88,1.01,0.99,0.99,C3,103.2769779,7/28/2022,44770,13:56:00,0.580555556,44770.58056,2.1
"C3stack.tif:	2022:07:29 10:36:5",104548,114.92,86,135,1175.7,771.62,995,584,368,370,0.79,1.01,0.99,0.98,C3,131.8669959,7/29/2022,44771,10:36:05,0.441724537,44771.44172,3
"C3stack.tif:	2022:08:01 14:21:5",260364,148.07,89,173,486.62,860.18,196,575,576,579,0.82,1.01,0.99,0.99,C3,328.3986161,8/1/2022,44774,14:21:05,0.597974537,44774.59797,6.1
"C3stack.tif:	2022:08:02 14:53:1",318641,159.2,89,191,620.04,702.65,301,391,638,640,0.82,1.01,0.99,0.99,C3,401.9037326,8/2/2022,44775,14:53:01,0.620150463,44775.62015,7.2
"C3stack.tif:	2022:08:03 10:11:1",365328,174.89,89,212,663.44,747.97,322,415,680,687,0.83,1.01,0.99,0.99,C3,460.7903151,8/3/2022,44776,10:11:01,0.42431713,44776.42432,8
"C3stack.tif:	2022:08:09 11:11:2",509654,190.46,78,255,872.17,664.4,475,254,809,828,0.68,1.01,0.99,0.98,C3,642.829532,8/9/2022,44782,11:11:02,0.46599537,44782.466,14
"C2stack.tif:	2022:07:28 13:59:0",76802,147.3,68,185,629.45,855.38,471,702,316,313,0.87,1.01,0.99,0.99,C2,96.87080592,7/28/2022,44770,13:59:00,0.582638889,44770.58264,2.1
"C2stack.tif:	2022:08:01 14:24:1",254313,146.3,68,171,711.52,600.32,423,318,571,572,0.86,1.01,0.99,0.99,C2,320.7664548,8/1/2022,44774,14:24:01,0.600011574,44774.60001,6.1
"C2stack.tif:	2022:08:02 14:53:0",304547,151.98,68,191,664.09,789.14,345,482,628,628,0.84,1,1,0.99,C2,384.126889,8/2/2022,44775,14:53:00,0.620138889,44775.62014,7.2
"C1stack.tif:	2022:07:28 13:55:0",80313,172.69,72,216,730.68,902.16,571,740,322,326,0.82,1.02,0.98,0.98,C1,101.2992505,7/28/2022,44770,13:55:00,0.579861111,44770.57986,2.1
"C1stack.tif:	2022:08:01 14:21:1",262379,146.1,72,171,701.88,621.58,408,336,579,580,0.86,1.01,0.99,0.99,C1,330.9401472,8/1/2022,44774,14:21:01,0.597928241,44774.59793,6.1
"C1stack.tif:	2022:08:02 14:52:3",319045,159.13,72,195,789.68,714.51,466,402,638,638,0.85,1.01,0.99,0.99,C1,402.4133001,8/2/2022,44775,14:52:03,0.619479167,44775.61948,7.2
"C1stack.tif:	2022:08:03 10:10:4",363434,165.59,70,209,628.52,909.81,285,574,679,688,0.77,1.01,0.99,0.99,C1,458.401402,8/3/2022,44776,10:10:04,0.423657407,44776.42366,8
"D1stack.tif:	2022:07:28 13:56:2",79358,207.69,98,250,743.47,1058.55,585,900,318,321,0.85,1.02,0.99,0.98,D1,100.0947035,7/28/2022,44770,13:56:02,0.580578704,44770.58058,2.1
"D1stack.tif:	2022:07:29 10:41:2",114920,216.01,98,254,906.02,818.96,712,630,383,387,0.86,1.01,0.99,0.99,D1,144.9492593,7/29/2022,44771,10:41:02,0.445162037,44771.44516,3
"D1stack.tif:	2022:08:01 14:22:1",251417,146.78,98,170,557.05,598.97,269,323,569,567,0.83,1.02,0.98,0.99,D1,317.1137133,8/1/2022,44774,14:22:01,0.598622685,44774.59862,6.1
"D1stack.tif:	2022:08:02 14:51:1",307529,155.78,98,184,681.94,632.67,363,328,627,627,0.85,1.01,0.99,0.99,D1,387.8881028,8/2/2022,44775,14:51:01,0.618761574,44775.61876,7.2
"D1stack.tif:	2022:08:03 10:11:3",365718,174.52,98,207,736.19,647.83,392,316,683,685,0.84,1.01,0.99,0.99,D1,461.2822244,8/3/2022,44776,10:11:03,0.424340278,44776.42434,8
"D2stack.tif:	2022:07:28 13:56:4",84757,212.69,93,255,830.22,1123.48,665,959,329,330,0.84,1.01,0.99,0.98,D2,106.9044933,7/28/2022,44770,13:56:04,0.580601852,44770.5806,2.1
"D2stack.tif:	2022:07:29 10:40:5",120211,214.98,93,255,867.54,860.54,671,668,392,394,0.86,1.01,0.99,0.99,D2,151.6228282,7/29/2022,44771,10:40:05,0.444502315,44771.4445,3
"D2stack.tif:	2022:08:01 14:22:3",258060,137.11,91,162,431.12,772.87,140,492,575,574,0.78,1.02,0.98,0.99,D2,325.4925676,8/1/2022,44774,14:22:03,0.598645833,44774.59865,6.1
"D2stack.tif:	2022:08:02 14:51:3",316071,149.52,93,178,679.25,624.88,354,314,636,637,0.85,1.01,0.99,0.99,D2,398.6621767,8/2/2022,44775,14:51:03,0.618784722,44775.61878,7.2
"D2stack.tif:	2022:08:03 10:11:5",376533,166.95,93,203,666.74,702.86,317,368,694,694,0.83,1.01,0.99,0.99,D2,474.9232463,8/3/2022,44776,10:11:05,0.424363426,44776.42436,8
"D3stack.tif:	2022:07:28 13:57:1",80222,160.96,90,191,715.16,891.84,554,734,320,318,0.88,1.01,0.99,0.99,D3,101.1844717,7/28/2022,44770,13:57:01,0.581261574,44770.58126,2.1
"D3stack.tif:	2022:07:29 10:40:2",119044,210.71,90,254,982,626.05,786,431,390,395,0.83,1.02,0.98,0.98,D3,150.1508843,7/29/2022,44771,10:40:02,0.444467593,44771.44447,3
"D3stack.tif:	2022:08:01 14:22:5",254869,136.93,90,160,387.81,633.3,97,355,573,570,0.83,1.01,0.99,0.99,D3,321.4677409,8/1/2022,44774,14:22:05,0.598668981,44774.59867,6.1
"D3stack.tif:	2022:08:02 14:52:1",312185,153.44,90,184,661.49,668.17,340,360,633,632,0.86,1,1,0.99,D3,393.7607425,8/2/2022,44775,14:52:01,0.619456019,44775.61946,7.2
"D3stack.tif:	2022:08:03 10:12:1",369013,167.28,90,201,659.36,665.59,311,333,690,685,0.79,1,1,0.98,D3,465.4382269,8/3/2022,44776,10:12:01,0.425011574,44776.42501,8
MontageA2.tif 0804,158416,254.15,0,255,2698.16,166.49,2641,105,116,119,0.39,1.03,0.97,0.94,A2,199.8110152,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
Montage_A1.tif 0804,133648,197.39,163,220,2669.81,185.27,2617,135,105,103,0.83,1.02,0.98,0.98,A1,168.5709938,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
Montage_A3.tif 0809,189776,192.91,158,226,3616.47,159.4,3555,100,127,123,0.66,1.07,0.93,0.97,A3,239.3655642,8/9/2022,44782,11:11:04,0.466018519,44782.46602,14
Montage_A3.tif 0905,139008,199.58,165,227,3137.09,167.92,3084,117,108,106,0.6,1.04,0.96,0.97,A3,175.3315928,8/5/2022,44778,9:46:02,0.406967593,44778.40697,9.9
Montage_A3.tif 0804,124672,200.66,170,225,2645.06,179.26,2595,130,100,101,0.73,1.02,0.98,0.97,A3,157.2495132,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
Montage_B3.tif 0804,204832,183.82,127,221,3157.06,184.77,3088,118,135,129,0.33,1.11,0.9,0.94,B3,258.3557839,8/4/2022,44777,10:31:04,0.438240741,44777.43824,9
Stack:DSCF7211,111140,180.22,130,207,868.39,1048.23,677,860,381,381,0.48,1.01,0.99,0.97,C1,140.1815235,7/29/2022,44771,10:34:00,0.440277778,44771.44028,3
