Distance_(pixels),Gray_Value
530,146.333
531,142.667
532,142.000
533,142.000
534,141.333
535,142.000
536,143.000
537,144.667
538,145.000
539,142.667
540,142.667
541,142.667
542,143.667
543,144.667
544,145.667
545,147.667
546,148.667
547,147.667
548,146.667
549,146.000
550,145.000
551,144.333
552,144.333
553,144.667
554,145.000
555,147.000
556,147.333
557,147.667
558,149.333
559,150.667
560,148.667
561,144.000
562,140.000
563,134.333
564,131.000
565,128.333
566,125.000
567,123.333
568,120.667
569,116.667
570,114.000
571,113.000
572,112.000
573,110.000
574,108.333
575,106.667
576,105.333
577,103.667
578,103.667
579,100.333
580,99.000
581,97.333
582,97.333
583,97.333
584,97.333
585,94.667
586,92.000
587,90.667
588,87.667
589,85.667
590,85.000
591,84.667
592,83.667
593,82.333
594,80.333
595,77.333
596,76.333
597,75.667
598,74.667
599,73.000
600,72.000
601,70.333
602,69.667
603,68.333
604,66.667
605,65.667
606,65.000
607,64.000
608,63.333
609,62.000
610,61.000
611,59.000
612,59.000
613,58.667
614,57.667
615,57.333
616,56.333
617,55.667
618,55.667
619,54.667
620,54.667
621,53.667
622,53.000
623,51.333
624,51.333
625,50.667
626,50.667
627,48.333
628,48.333
629,47.000
630,46.000
631,45.000
632,45.000
633,44.333
634,44.667
635,43.333
636,42.000
637,41.000
638,42.667
639,43.333
640,41.667
641,38.667
642,37.000
643,31.667
644,15.000
645,3.667
646,2.333
647,1.000
648,0.333
649,0.667
650,0.667
651,0.000
652,0.000
653,0.000
654,0.000
655,0.000
656,0.000
657,0.000
658,0.000
659,0.000
660,0.000
661,0.000
662,0.000
663,0.000
664,0.000
665,0.000
666,0.000
667,0.000
668,0.000
669,0.000
670,0.000
671,0.000
672,0.000
673,0.000
674,0.000
675,0.000
676,0.000
677,0.000
678,0.000
679,0.000
680,0.000
681,0.000
682,0.000
683,0.000
684,0.000
685,0.000
686,0.000
687,0.000
688,0.000
689,0.000
690,0.000
691,0.000
692,0.000
693,0.000
694,0.000
695,0.000
696,0.000
697,0.000
698,0.000
699,0.000
700,0.000
701,0.000
702,0.000
703,0.000
704,0.000
705,0.000
706,0.000
707,0.000
708,0.000
709,0.000
710,0.000
711,0.000
712,0.000
713,0.000
714,0.000
715,0.000
716,0.000
717,0.000
718,0.000
719,0.000
720,0.000
721,0.000
722,0.000
723,0.000
724,0.000
725,0.000
726,0.000
727,0.000
728,0.000
729,0.000
730,0.000
731,0.000
732,0.000
733,0.000
734,0.000
735,0.000
736,0.000
737,0.000
738,0.000
739,0.000
740,0.000
741,0.000
742,0.000
743,0.000
744,0.000
745,0.000
746,0.000
747,0.000
748,0.000
749,0.000
750,0.000
751,0.000
752,0.000
753,0.000
754,0.000
755,0.000
756,0.000
757,0.000
758,0.000
759,0.000
760,0.000
761,0.000
762,0.000
763,0.000
764,0.000
765,0.000
766,0.000
767,0.000
768,0.000
769,0.000
770,0.000
771,0.000
772,0.000
773,0.000
774,0.000
775,0.000
776,0.000
777,0.000
778,0.000
779,0.000
780,0.000
781,0.000
782,0.000
783,0.000
784,0.000
785,0.000
786,0.000
787,0.667
788,0.000
789,0.333
790,4.000
791,1.000
792,2.000
793,2.000
794,42.333
795,40.333
796,38.333
797,39.667
798,41.000
799,41.667
800,42.333
801,43.333
802,43.000
803,45.000
804,46.000
805,46.667
806,47.333
807,48.000
808,49.000
809,48.000
810,48.000
811,49.333
812,49.333
813,49.667
814,50.333
815,50.333
816,51.333
817,51.000
818,51.000
819,50.667
820,51.333
821,52.000
822,53.000
823,53.667
824,54.667
825,55.000
826,56.000
827,56.667
828,57.667
829,59.333
830,61.333
831,61.667
832,61.667
833,61.000
834,61.000
835,62.333
836,62.333
837,63.333
838,64.000
839,65.333
840,67.667
841,69.333
842,70.333
843,72.333
844,73.333
845,73.333
846,74.000
847,75.667
848,77.000
849,77.667
850,78.667
851,81.333
852,83.667
853,86.000
854,87.333
855,88.000
856,89.333
857,92.667
858,94.000
859,96.000
860,97.333
861,100.333
862,102.667
863,104.000
864,107.000
865,111.000
866,113.000
867,114.667
868,117.000
869,120.667
870,122.667
871,125.000
872,127.667
873,130.667
874,133.000
875,135.333
876,137.333
877,140.000
878,141.333
879,140.667
880,140.667
881,141.000
882,141.667
883,142.333
884,142.333
885,142.333
886,143.000
887,143.000
888,143.667
889,144.000
890,144.000
891,143.000
892,143.000
893,144.333
894,144.333
895,144.333
896,144.333
897,144.000
898,144.000
899,146.000
900,145.000
901,143.333
902,142.333
903,142.333
904,141.333
905,141.000
906,141.000
907,143.000
908,143.000
909,143.667
910,144.667
911,144.667
912,145.667
913,146.667
914,146.667
915,144.667
916,144.667
917,145.333
918,145.333
919,144.667
920,143.667
921,143.000
922,142.333
923,140.000
924,138.667
925,135.333
926,134.667
927,132.333
928,129.000
929,125.667
930,122.667
931,119.667
932,117.667
933,115.333
934,113.333
935,111.333
936,108.667
937,105.000
938,102.667
939,101.667
940,99.333
941,96.000
942,94.000
943,92.667
944,91.333
945,89.000
946,87.333
947,85.333
948,82.667
949,80.667
950,80.000
951,79.333
952,77.667
953,75.667
954,74.000
955,73.333
956,72.333
957,70.667
958,68.333
959,67.000
960,66.000
961,65.333
962,65.333
963,63.333
964,63.333
965,61.667
966,61.000
967,59.667
968,59.000
969,57.333
970,57.333
971,56.667
972,56.667
973,55.667
974,55.000
975,55.000
976,54.333
977,53.667
978,53.667
979,51.000
