Label;Area;XM;YM;Date;Days;Plate;Colonies on the plate
MASK_All_stack.tif:6_1215.tif_b;13018;219.903;294.754;1215;14;6b;6
MASK_All_stack.tif:6_1215.tif_b;11970;373.419;240.384;1215;14;6b;6
MASK_All_stack.tif:6_1215.tif_a;14027;362.947;602.375;1215;14;6a;6
MASK_All_stack.tif:6_1215.tif_a;14435;514.316;527.234;1215;14;6a;6
MASK_All_stack.tif:6_1215.tif_a;13792;227.817;502.689;1215;14;6a;6
MASK_All_stack.tif:6_1215.tif_a;13377;532.472;362.871;1215;14;6a;6
MASK_All_stack.tif:6_1215.tif_a;12822;241.89;328.575;1215;14;6a;6
MASK_All_stack.tif:6_1215.tif_a;12252;398.332;265.04;1215;14;6a;6
MASK_All_stack.tif:1_1216.tif_a;27431;373.411;267.318;1216;15;1a;1
MASK_All_stack.tif:1_1216.tif_b;28928;388.959;234.078;1216;15;1b;1
MASK_All_stack.tif:1_1216.tif_c;28885;384.909;236.819;1216;15;1c;1
MASK_All_stack.tif:1_1216.tif_d;29130;371.728;184.591;1216;15;1d;1
MASK_All_stack.tif:2_1216.tif_a;26850;384.269;257.557;1216;15;2a;2
MASK_All_stack.tif:2_1216.tif_a;28164;377.004;566.308;1216;15;2a;2
MASK_All_stack.tif:2_1216.tif_b;25775;378.081;217.757;1216;15;2b;2
MASK_All_stack.tif:2_1216.tif_b;27583;337.718;529.987;1216;15;2b;2
MASK_All_stack.tif:2_1216.tif_c;27024;363.697;213.775;1216;15;2c;2
MASK_All_stack.tif:2_1216.tif_c;27468;361.103;524.399;1216;15;2c;2
MASK_All_stack.tif:3_1216.tif_a;21603;386.361;276.106;1216;15;3a;3
MASK_All_stack.tif:3_1216.tif_a;22530;237.161;511.353;1216;15;3a;3
MASK_All_stack.tif:3_1216.tif_a;23254;518.29;520.295;1216;15;3a;3
MASK_All_stack.tif:3_1216.tif_b;21679;371.676;230.095;1216;15;3b;3
MASK_All_stack.tif:3_1216.tif_b;25054;222.773;461.697;1216;15;3b;3
MASK_All_stack.tif:3_1216.tif_b;24211;499.105;479.663;1216;15;3b;3
MASK_All_stack.tif:3_1216.tif_c;24243;383.03;244.628;1216;15;3c;3
MASK_All_stack.tif:3_1216.tif_c;23159;228.41;469.595;1216;15;3c;3
MASK_All_stack.tif:3_1216.tif_c;22797;511.784;488.08;1216;15;3c;3
MASK_All_stack.tif:4_1216.tif_a;17183;380.656;264.757;1216;15;4a;4
MASK_All_stack.tif:4_1216.tif_a;19439;564.337;412.102;1216;15;4a;4
MASK_All_stack.tif:4_1216.tif_a;18716;229.479;433.201;1216;15;4a;4
MASK_All_stack.tif:4_1216.tif_a;18880;407.102;588.71;1216;15;4a;4
MASK_All_stack.tif:4_1216.tif_b;17162;381.14;225.809;1216;15;4b;4
MASK_All_stack.tif:4_1216.tif_b;17987;202.532;376.608;1216;15;4b;4
MASK_All_stack.tif:4_1216.tif_b;18927;531.884;398.659;1216;15;4b;4
MASK_All_stack.tif:4_1216.tif_b;18844;352.972;555.605;1216;15;4b;4
MASK_All_stack.tif:4_1216.tif_c;17717;369.752;203.64;1216;15;4c;4
MASK_All_stack.tif:4_1216.tif_c;18415;534.36;360.095;1216;15;4c;4
MASK_All_stack.tif:4_1216.tif_c;17398;204.354;368.513;1216;15;4c;4
MASK_All_stack.tif:4_1216.tif_c;17298;376.537;532.211;1216;15;4c;4
MASK_All_stack.tif:6_1216.tif_b;13876;336.027;546.434;1216;15;6b;6
MASK_All_stack.tif:6_1216.tif_b;13238;492.241;486.309;1216;15;6b;6
MASK_All_stack.tif:6_1216.tif_b;13822;212.574;432.22;1216;15;6b;6
MASK_All_stack.tif:6_1216.tif_b;13195;530.602;325.064;1216;15;6b;6
MASK_All_stack.tif:6_1216.tif_b;13063;243.747;264.42;1216;15;6b;6
MASK_All_stack.tif:6_1216.tif_b;11964;399.729;216.977;1216;15;6b;6
MASK_All_stack.tif:6_1216.tif_a;14266;364.925;586.631;1216;15;6a;6
MASK_All_stack.tif:6_1216.tif_a;14666;511.436;501.509;1216;15;6a;6
MASK_All_stack.tif:6_1216.tif_a;13959;223.312;495.655;1216;15;6a;6
MASK_All_stack.tif:6_1216.tif_a;13596;519.482;335.829;1216;15;6a;6
MASK_All_stack.tif:6_1216.tif_a;12992;225.745;320.674;1216;15;6a;6
MASK_All_stack.tif:6_1216.tif_a;12286;378.104;247.045;1216;15;6a;6
MASK_All_stack.tif:1_1221.tif_a;37244;420.72;255.434;1221;20;1a;1
MASK_All_stack.tif:1_1221.tif_b;39337;378.886;227.993;1221;20;1b;1
MASK_All_stack.tif:1_1221.tif_c;39640;368.649;266.015;1221;20;1c;1
MASK_All_stack.tif:1_1221.tif_d;39794;380.319;205.12;1221;20;1d;1
MASK_All_stack.tif:2_1221.tif_a;32864;398.079;250.858;1221;20;2a;2
MASK_All_stack.tif:2_1221.tif_a;35290;428.149;557.68;1221;20;2a;2
MASK_All_stack.tif:2_1221.tif_b;32090;425.649;236.149;1221;20;2b;2
MASK_All_stack.tif:2_1221.tif_b;34593;396.278;548.043;1221;20;2b;2
MASK_All_stack.tif:2_1221.tif_c;34040;389.318;232.499;1221;20;2c;2
MASK_All_stack.tif:2_1221.tif_c;34218;414.028;541.842;1221;20;2c;2
MASK_All_stack.tif:3_1221.tif_a;23864;355.884;201.889;1221;20;3a;3
MASK_All_stack.tif:3_1221.tif_a;26274;533.486;420.986;1221;20;3a;3
MASK_All_stack.tif:3_1221.tif_a;24836;251.334;464.376;1221;20;3a;3
MASK_All_stack.tif:3_1221.tif_b;23511;333.865;195.31;1221;20;3b;3
MASK_All_stack.tif:3_1221.tif_b;26713;503.581;425.852;1221;20;3b;3
MASK_All_stack.tif:3_1221.tif_b;28164;222.928;452.078;1221;20;3b;3
MASK_All_stack.tif:3_1221.tif_c;27317;408.614;223.464;1221;20;3c;3
MASK_All_stack.tif:3_1221.tif_c;25447;240.427;445.296;1221;20;3c;3
MASK_All_stack.tif:3_1221.tif_c;25618;527.552;477.031;1221;20;3c;3
MASK_All_stack.tif:4_1221.tif_a;17700;437.546;245.117;1221;20;4a;4
MASK_All_stack.tif:4_1221.tif_a;19414;242.604;370.275;1221;20;4a;4
MASK_All_stack.tif:4_1221.tif_a;20156;577.795;437.711;1221;20;4a;4
MASK_All_stack.tif:4_1221.tif_a;19464;375.924;569.541;1221;20;4a;4
MASK_All_stack.tif:4_1221.tif_b;17638;453.123;218.853;1221;20;4b;4
MASK_All_stack.tif:4_1221.tif_b;18148;226.782;295.427;1221;20;4b;4
MASK_All_stack.tif:4_1221.tif_b;20131;530.72;437.215;1221;20;4b;4
MASK_All_stack.tif:4_1221.tif_b;19969;303.117;520.446;1221;20;4b;4
MASK_All_stack.tif:4_1221.tif_c;18509;419.098;238.329;1221;20;4c;4
MASK_All_stack.tif:4_1221.tif_c;18396;230.136;385.233;1221;20;4c;4
MASK_All_stack.tif:4_1221.tif_c;19652;567.078;416.222;1221;20;4c;4
MASK_All_stack.tif:4_1221.tif_c;17712;385.976;570.195;1221;20;4c;4
MASK_All_stack.tif:6_1221.tif_b;14212;343.079;539.908;1221;20;6b;6
MASK_All_stack.tif:6_1221.tif_b;14095;210.347;432.9;1221;20;6b;6
MASK_All_stack.tif:6_1221.tif_b;13321;524.351;302.76;1221;20;6b;6
MASK_All_stack.tif:6_1221.tif_b;13168;230.211;261.152;1221;20;6b;6
MASK_All_stack.tif:6_1221.tif_b;12149;384.851;202.493;1221;20;6b;6
MASK_All_stack.tif:6_1221.tif_a;14761;406.397;573.103;1221;20;6a;6
MASK_All_stack.tif:6_1221.tif_a;14797;553.562;483.878;1221;20;6a;6
MASK_All_stack.tif:6_1221.tif_a;14565;260.738;483.545;1221;20;6a;6
MASK_All_stack.tif:6_1221.tif_a;13493;558.578;316.219;1221;20;6a;6
MASK_All_stack.tif:6_1221.tif_a;13524;260.159;305.604;1221;20;6a;6
MASK_All_stack.tif:6_1221.tif_a;12452;413.61;228.227;1221;20;6a;6
